farmer_id,age,education,farm_size,crop_type,region,tech_literacy,financial_access,prev_loan,repayment_status
YF1082,33,Tertiary,2.97,Maize,Plateau,Medium,Full,0,0
YF1083,20,Secondary,2.41,Tomatoes,Benue,Medium,Some,1,1
YF1084,23,Primary,3.06,Tomatoes,Benue,Medium,Some,0,0
YF1085,21,Tertiary,3.09,Maize,Oyo,Medium,Limited,1,0
YF1086,27,Tertiary,3.79,Yam,Kaduna,Medium,Limited,0,1
YF1087,23,Secondary,1.07,Rice,Kano,Medium,Limited,1,0
YF1088,21,Tertiary,1.63,Tomatoes,Plateau,Medium,None,0,1
YF1089,33,Primary,3.11,Cassava,Oyo,High,Full,1,1
YF1090,25,Primary,4.4,Cassava,Kano,High,Some,0,1
YF1091,25,Secondary,3.03,Maize,Oyo,Low,None,0,0
YF1092,29,Tertiary,1.57,Yam,Benue,High,Full,0,1
YF1093,23,Tertiary,3.56,Tomatoes,Plateau,Medium,Full,0,0
YF1094,25,Secondary,3.83,Yam,Kano,High,Full,1,0
YF1095,32,Tertiary,1.57,Tomatoes,Kano,High,Full,0,1
YF1096,34,Tertiary,2.2,Maize,Kano,Medium,Limited,1,0
YF1097,21,Tertiary,2.9,Maize,Kano,Low,Limited,0,1
YF1098,29,Secondary,2.73,Cassava,Kano,Medium,None,0,1
YF1099,31,Secondary,2.25,Yam,Oyo,Medium,Some,1,0
YF1100,21,Secondary,1.84,Cassava,Plateau,Medium,Some,1,1
YF1101,29,Secondary,0.95,Yam,Benue,Medium,Some,0,1
YF1102,33,Tertiary,0.74,Cassava,Benue,Low,Limited,0,1
YF1103,23,Tertiary,4.81,Rice,Benue,High,Some,1,1
YF1104,33,Primary,4.31,Rice,Benue,High,None,0,0
YF1105,34,Secondary,2.1,Rice,Oyo,Medium,Some,1,0
YF1106,34,Secondary,4.81,Rice,Kaduna,Low,Limited,1,0
YF1107,27,Secondary,3.55,Tomatoes,Plateau,Medium,None,1,0
YF1108,33,Tertiary,2.67,Rice,Kano,Low,Full,0,1
YF1109,26,Primary,2.72,Maize,Kaduna,High,Some,1,1
YF1110,31,Primary,0.87,Maize,Benue,Low,Some,0,1
YF1111,28,Secondary,0.91,Tomatoes,Kaduna,Medium,Limited,0,1
YF1112,33,Primary,3.21,Rice,Plateau,Medium,Full,0,0
YF1113,27,Secondary,2.99,Rice,Kano,Medium,Some,0,1
YF1114,24,Secondary,1.46,Rice,Kano,Medium,Limited,1,1
YF1115,32,Secondary,4.76,Cassava,Plateau,High,Limited,1,0
YF1116,21,Secondary,4.02,Yam,Plateau,Medium,Some,1,1
YF1117,34,Secondary,1.01,Cassava,Benue,Low,Full,0,1
YF1118,24,Secondary,4.69,Yam,Kano,Low,Limited,0,0
YF1119,27,Secondary,4.88,Rice,Kaduna,High,Limited,0,1
YF1120,29,Primary,4.98,Rice,Oyo,High,Full,1,0
YF1121,28,Secondary,0.75,Cassava,Oyo,Medium,Full,0,1
YF1122,31,Tertiary,3.82,Cassava,Plateau,Medium,Limited,1,1
YF1123,31,Secondary,2.96,Yam,Benue,Medium,Full,0,1
YF1124,31,Tertiary,3.68,Maize,Oyo,Low,Limited,0,0
YF1125,32,Secondary,4.86,Yam,Kano,High,Limited,1,1
YF1126,28,Secondary,3.6,Cassava,Plateau,Medium,Limited,0,1
YF1127,32,Secondary,4.27,Cassava,Kaduna,Medium,Limited,1,0
YF1128,34,Secondary,4.4,Tomatoes,Plateau,Medium,None,1,1
YF1129,32,Tertiary,4.27,Cassava,Kaduna,Low,Full,0,1
YF1130,20,Primary,2.42,Tomatoes,Plateau,Low,Full,0,0
YF1131,28,Secondary,1.5,Maize,Plateau,High,None,0,0
YF1132,26,Secondary,2.28,Yam,Plateau,Low,Full,1,0
YF1133,28,Secondary,4.51,Yam,Kaduna,Medium,None,0,1
YF1134,27,Primary,1.16,Tomatoes,Kaduna,Medium,Some,1,1
YF1135,20,Tertiary,2.81,Yam,Plateau,Medium,Limited,1,0
YF1136,31,Secondary,1.55,Cassava,Oyo,Medium,None,1,1
YF1137,27,Primary,3.12,Rice,Benue,Medium,Full,0,1
YF1138,27,Tertiary,4.38,Tomatoes,Benue,High,Full,1,1
YF1139,34,Secondary,4.46,Yam,Benue,Medium,Limited,1,0
YF1140,30,Tertiary,1.57,Tomatoes,Kaduna,Medium,None,0,1
YF1141,22,Secondary,4.58,Tomatoes,Kaduna,Medium,Some,0,1
YF1142,20,Secondary,3.16,Rice,Oyo,Medium,Limited,1,1
YF1143,27,Secondary,2.08,Cassava,Benue,High,Full,0,1
YF1144,22,Tertiary,3.69,Tomatoes,Benue,High,Limited,1,1
YF1145,22,Primary,2.67,Yam,Plateau,Medium,Some,0,0
YF1146,20,Secondary,2.2,Maize,Kaduna,Low,Limited,0,1
YF1147,30,Primary,3.67,Tomatoes,Benue,Medium,Limited,1,0
YF1148,24,Primary,1.62,Tomatoes,Oyo,Medium,Limited,0,1
YF1149,29,Secondary,1.99,Rice,Oyo,Low,None,0,1
YF1150,26,Secondary,2.46,Cassava,Benue,Medium,Limited,0,1
YF1151,29,Secondary,1.64,Maize,Kaduna,Medium,Limited,0,1
YF1152,28,Tertiary,2.32,Yam,Oyo,Medium,Full,0,1
YF1153,31,Tertiary,3.07,Maize,Plateau,High,Some,0,1
YF1154,26,Primary,3.83,Yam,Oyo,Low,Limited,1,1
YF1155,28,Primary,3.95,Cassava,Kano,Low,Full,0,1
YF1156,27,Secondary,4.2,Yam,Kano,High,None,1,1
YF1157,31,Secondary,3.85,Rice,Kaduna,Medium,Full,0,1
YF1158,21,Primary,3.56,Rice,Benue,Medium,Limited,1,1
YF1159,20,Primary,1.57,Rice,Kaduna,Medium,None,0,1
YF1160,26,Secondary,2.3,Rice,Kaduna,Medium,Some,1,0
YF1161,26,Tertiary,2.65,Maize,Kaduna,High,Limited,0,0
YF1162,33,Primary,0.87,Cassava,Kaduna,High,None,0,1
YF1163,27,Secondary,2.88,Yam,Plateau,Medium,Limited,0,0
YF1164,24,Secondary,2.46,Yam,Plateau,Medium,Some,0,1
YF1165,22,Primary,4.11,Rice,Oyo,Medium,Limited,0,1
YF1166,31,Secondary,4.9,Rice,Kano,Medium,None,0,0
YF1167,27,Primary,3.0,Tomatoes,Kaduna,Low,Full,1,1
YF1168,25,Secondary,1.95,Cassava,Oyo,High,Full,0,1
YF1169,30,Primary,0.7,Maize,Kano,Low,Full,0,1
YF1170,22,Primary,4.66,Yam,Benue,High,Limited,1,0
YF1171,20,Secondary,4.64,Tomatoes,Plateau,Medium,None,1,1
YF1172,22,Primary,1.64,Tomatoes,Kano,Low,Limited,0,1
YF1173,24,Primary,3.63,Yam,Benue,Medium,None,0,1
YF1174,34,Secondary,0.84,Maize,Kano,High,None,0,1
YF1175,33,Primary,1.25,Tomatoes,Plateau,High,Some,1,0
YF1176,22,Tertiary,1.48,Tomatoes,Plateau,High,Some,1,0
YF1177,20,Primary,1.83,Cassava,Oyo,Medium,Limited,0,1
YF1178,24,Secondary,4.98,Maize,Kaduna,Medium,Limited,1,0
YF1179,29,Secondary,3.64,Tomatoes,Kano,High,Some,1,1
YF1180,26,Secondary,2.23,Maize,Kano,Medium,Some,0,1
YF1181,34,Secondary,3.82,Yam,Benue,Medium,Full,1,1
YF1182,33,Primary,4.62,Rice,Plateau,Medium,Some,0,0
YF1183,26,Tertiary,4.81,Tomatoes,Kano,High,Some,0,1
YF1184,30,Tertiary,0.76,Cassava,Plateau,High,None,0,1
YF1185,28,Tertiary,2.28,Yam,Kano,Low,Limited,0,1
YF1186,34,Primary,0.98,Maize,Oyo,High,Limited,0,1
YF1187,34,Primary,2.01,Yam,Kaduna,High,Some,1,1
YF1188,29,Secondary,1.26,Tomatoes,Kano,Low,None,0,0
YF1189,29,Secondary,3.41,Maize,Plateau,Medium,Limited,0,1
YF1190,31,Secondary,2.25,Rice,Oyo,High,Limited,0,1
YF1191,32,Tertiary,1.53,Yam,Kano,Low,Some,1,1
YF1192,22,Primary,1.7,Tomatoes,Benue,Medium,Full,0,1
YF1193,34,Tertiary,2.12,Cassava,Kaduna,Medium,None,0,1
YF1194,26,Secondary,1.67,Maize,Kano,High,Some,0,1
YF1195,20,Tertiary,2.54,Yam,Oyo,High,Full,0,0
YF1196,23,Primary,0.65,Yam,Benue,High,Some,1,0
YF1197,32,Secondary,1.76,Rice,Oyo,Medium,Limited,1,1
YF1198,23,Secondary,2.35,Rice,Oyo,High,Some,0,1
YF1199,33,Primary,3.21,Cassava,Benue,High,Some,1,1
